DW_CLIENTES;address_number;business_family;business_unit;customer;customerkey;customer_type;division;division_name;line_of_business;phone;region_code;region_name;regional_sales_mgr;search_type
5b24b83df1682ab9f53bc6b53834424364ab620c69657a2c328b91635688afa6;10025298;R3;1;U. Supermarket;10025298;G3;1;International;Não Informado;816-455-8733;0;Canada;S17;C
425597aad442bed674a7aed32fe3c3ddb74067876cadf747e4923f078d63111e;10009885;R3;1;Degolyer Supermarket;10009885;G3;1;International;Não Informado;816-455-8733;0;Canada;S5;C
045c91a8123d217cf2c10074dc2bb9350fab2cf127ee4eef60a5073c76172855;10025246;R3;1;TECC Shop;10025246;G3;1;International;Não Informado;816-455-8733;0;Canada;S5;C
e81308bf0939b7c5ce84a29ffd7d93a135a96281f5ff7fbe62c880ea246ae947;10012235;R3;1;Fimetrics Supermarket;10012235;G3;1;International;Não Informado;816-455-8733;0;Canada;S5;C
95629bf25d448b4661c1931a7268719392decdec06a82a4979b062e74f14a17e;10024034;R3;1;Script Supermarket;10024034;G3;1;International;Não Informado;816-455-8733;0;Canada;S5;C
433dee1c8b99157a0ec781cc6274dccb3063b40d2c8af3c1a9e21fd93662b8b1;10000456;R1;1;A&B Shop;10000456;G3;1;International;Não Informado;816-455-8733;0;Canada;S2;C
20850793d1b8ca96a6850e29df9d66b6ce49cc2e74281ea6f52d2099d1227488;10026268;R2;1;WarRoom Store;10026268;G3;1;International;Não Informado;816-455-8733;0;Canada;S8;C
468621f6e390c7460a2f9dc9b600e20414dfe05832d89a164fecb33ade857d77;10019410;R1;1;Keystone Store;10019410;G3;1;International;Não Informado;816-455-8733;0;Canada;S2;C
6e3069617682c7188864441be049f8fde67525b12fd1669172026043ba32bc00;10025299;R3;1;U.S. Market;10025299;G3;1;International;M1;816-455-8733;0;Canada;S5;C
d671ce606d02f1bcf852e6dea27b466eed11f2ea77529415e92ccea3570edec1;10025023;R3;1;TAL Store;10025023;G3;1;International;Não Informado;816-455-8733;0;Canada;S5;C
f26d6666bda8a0f119e93b79560d684a17bfc5e9930988e158bd47733557a20d;10000469;R3;1;A-2-Z Supermarket;10000469;G3;1;International;Não Informado;816-455-8733;0;Canada;S5;C
e179368e1c3556dd93ce351bbee4a43de74b0158fa3ac46da2249a30d7f829e2;10025237;O2;1;Team Supermarket;10025237;G3;1;International;Não Informado;816-455-8733;0;Canada;S1;C
f8d0c7f4ee974c1b6837e5bea74c7aa0829a263d9130ec80202cd6a6ee3b56f2;10019913;R3;1;Livezone Supermarket;10019913;G3;1;International;Não Informado;816-455-8733;0;Canada;S17;C
a9640e4c56b6c81e58053b19edf1aee3dbf07ccceec1ae8616c643d97ac7470e;10027082;R3;1;ySecret Shop;10027082;G3;1;International;Não Informado;816-455-8733;0;Canada;S5;C
9c0e0344d36ddfb76e7653e149d754442f1482b9b1365e08a57f14adf62c93ad;10022240;R3;1;Quantum Supermarket;10022240;G3;1;International;Não Informado;816-455-8733;0;Canada;S5;C
0f8c3d1390257fcd6914cee3cf14e455dbd848120d776125f79c48e45ab9ea3b;10010887;R3;1;Edia Shop;10010887;G3;1;International;Não Informado;816-455-8733;0;Canada;S5;C
